题名,题名说明,分类,主要责任者,责任者说明,古籍版本,"版本类型
稿本、写本、抄本、影抄本、刻本、活字本、套印本、石印本、彩绘本",刊刻时间,刊刻地址,馆藏,馆藏地点（省级单位）,四部分类,子目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200056,史,汉司马迁撰　清王鸣盛畧诠,,清宣统元年刻本（封面题重订史记畧诠）,刻本,清,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷桐城吴先生汇录诸家史记评话一卷桐城吴先生史记初校本点识一卷,史10200054,史,汉司马迁撰　吴汝纶点勘　（桐城吴先生汇录诸家史记评话）清吴汝纶辑　（桐城吴先生史记初校本点识）吴闓生辑,,清宣统六年南宫邢氏刻本,刻本,清,北京,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200053,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明徐孚远、陈子龙测议,,清瑞成堂刻本,刻本,清,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200053,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明徐孚远、陈子龙测议,,明末刻本,刻本,明,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200053,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明徐孚远、陈子龙测议,,明末素位堂刻本,刻本,明,福建,浙江图书馆,浙江,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200053,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明徐孚远、陈子龙测议,,明崇祯间刻本,刻本,明,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200052,史,汉司马迁撰　明邹德沛辑评,,明崇祯十三年酣古斋刻本,刻本,明,,扬州市图书馆,江苏,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200051,史,汉司马迁撰　明葛鼎、金蟠辑评,,明崇祯十年葛氏刻本,刻本,明,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200050,史,汉司马迁撰　明朱东观辑评,,明末玉夏斋刻本,刻本,明,,清华大学图书馆　上海图书馆　吉林大学图书馆　新疆大学图书馆　兴化市图书馆,北京 上海 吉林  新疆 江苏,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200049,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明锺人杰辑评,,明锺人杰刻本,刻本,明,江苏,上海图书馆 浙江图书馆,上海 浙江,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200048,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明黄嘉惠辑评,,明黄嘉惠刻本,刻本,明,安徽,浙江图书馆,浙江,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
